user_id,screen_name,x_coord,y_coord
1,__Sthefany,20.93767927,93.29862396
2,_Abby_snail_,35.25827767,70.09229402
3,_Amaaanda_,8.612637673,80.40827058
4,_annubis_,31.29301688,96.94293496
5,_beatrizld,41.26342519,66.32335229
6,_Branny,33.10283675,3.509682142
7,_Caoimhe,16.1206269,-11.63995625
8,_cherryy,18.26157046,-39.04540246
9,_chrissy_clark_,12.69541369,-73.35327494
10,_CLAIRExo,20.61641783,4.243199115
11,_delux,-57.11067925,-13.89633533
12,_emo_angel_74,7.068492121,12.45640967
13,_Faabiano,25.58564665,85.45610548
14,_faeriequeen,-19.71827484,30.9522602
15,_Flamebird__,15.8944396,-71.25270936
16,_GeekNews_,-44.95562544,-65.32621145
17,_girlDom,24.25773377,-24.92216702
18,_glitter_girl,24.47130512,-37.1602934
19,_heyitsTerrelle,-29.68784114,-12.95958305
20,_inkworm,47.89789876,-34.71381147
21,_InspIron_,27.66493683,19.33893089
22,_Karen,-41.39036521,34.74445285
23,_likeascream,-24.25150895,26.94744794
24,_maggiemay,-19.80204748,19.61148995
25,_MCgera,9.588076958,-4.664334646
26,_medicate,15.82886147,-27.8154596
27,_Mileyholic_,-21.28863682,46.34331178
28,_MyLeNe_T,43.14994957,66.28451103
29,_nynnaa_,41.33188763,67.75266625
30,_Paranormal_,-38.27526037,32.82420922
31,_parti,21.85018821,78.20949466
32,_reinbold,58.38397234,-34.17355739
33,_RoiSin_M,22.16128705,-57.8726023
34,_rsan,-58.05090826,-8.965245851
35,_SemperEadem,-32.50129774,43.4446491
36,_stopwhispering,16.83626128,85.44026982
37,_sweet_kitten_,-29.68806985,-43.65428566
38,_TheMuffinMan,-15.22270303,5.430783151
39,_TopNotchDiiva_,-23.73288747,2.974134965
40,_TwistedDog_,49.97484581,-36.56627888
41,_xOhYouDarling,-43.26062238,-44.05454747
42,_yungchung,-11.20524471,38.1123111
43,001PPUA,-29.16318206,-70.68003656
44,0ph3lia,-18.09890968,33.04239428
45,1234insurance,21.23183486,-82.47614399
46,13sica22ukiss,-35.85290777,-37.76896922
47,17_bellagomes,37.4165315,81.06982945
48,1MonthFacelift,45.23448082,-18.44952042
49,1RealDiamond,-16.25574452,-2.359599727
50,2_asian_girls,-26.3661679,-71.22538674
51,2220_PESO,-39.62663202,-37.65547311
52,247AdultStars,46.8997497,-35.84119543
53,24Shopaholic,24.99080887,-80.55082869
54,2ChristieAnders,-49.39899368,-55.27763051
55,2DegreesMktg,53.23589926,-6.787158723
56,2digs,59.00471218,-15.86734694
57,2Nice007,-36.96806081,-34.57932188
58,2PM_facts,-43.46104273,-37.47413976
59,2PM_Medan,-33.98726408,-11.9935447
60,2pretty4yu,-32.92017014,-63.40332725
61,2qt2bBrad,44.26196526,-42.58402244
62,3_DOLLS,-27.52230397,22.35579905
63,30frames,36.78133361,-20.98053001
64,3aBBaDy,-17.97433855,10.87418878
65,3dZip,-73.22782906,-18.9284937
66,4_breastcancer,-42.8298939,-72.56291267
67,44120tak,-20.51110302,53.32199642
68,4castnate,37.52873509,13.02089276
69,4rlenemartinez,18.82626733,-86.68525405
70,4tube,-39.97906798,-28.34743916
71,4utoday,38.81775508,9.130769269
72,4xtrading1,-68.71566738,-23.87906892
73,5dollardinners,-59.98364982,-34.12412986
74,5Raphaels,-58.53450089,-8.023121636
75,69sree,38.58077473,0.93992914
76,6seeks9,-30.62707304,38.40090935
77,706520,-45.03664927,-41.3109606
78,7Lowe,-50.47433856,-34.24793379
79,7SpringsWine,-38.52146332,-60.22148295
80,8investor,-67.41697495,-18.56058155
81,8TrackMind,-37.65018306,-63.70782891
82,8xHPO,13.32854783,-7.082655273
83,939kxos,23.42493385,73.92082351
84,943CKSY,-53.05353322,-7.482750997
85,97stevie,6.174132524,-60.0436624
86,9to5mac,-43.13177837,-66.53258986
87,A_2_the_Lex,-23.58850393,15.11902696
88,A_C_Thompson,-66.00844292,-7.604516151
89,a_okafor007,18.07338386,-26.89994615
90,a2snooze,-46.60482745,29.68744005
91,A7XLover22,-12.00236205,23.51119931
92,aaalm,-50.08568635,30.48618076
93,aaifoon,19.30156417,81.14971891
94,AakankshaJoshi,6.971413448,-63.01747287
95,aaqibhh,29.357783,87.6179447
96,AarenLee,-50.77466528,-6.351279831
97,aarghapanda,18.72348989,8.829028902
98,AaronKane,13.1538565,-6.908249791
99,aazhblogg,-13.45590465,-21.07421247
100,abaesel2,47.05211941,-33.44888076
101,AbbieMolunaChim,-47.56794744,-35.63321227
102,AbbyRhode6770,41.40700545,3.748000794
103,abc7chicago,-64.77128318,-33.18409033
104,abcddesigns,51.67204537,-40.17667902
105,abdilahasis,31.30913095,77.01179036
106,abdulmuadz,-56.39614097,-8.756772946
107,Abedalmohimen,16.77038275,75.16959429
108,abeshura,18.4635083,73.91902908
109,AbFab40,-34.94538978,42.43792896
110,abid_patel,-14.22901614,37.31215491
111,abidifactor,-47.89970714,37.16735282
112,aBIGstatement,47.75740518,-22.56335772
113,abiichen,31.1347281,63.95345917
114,AbilityRevealer,58.88139133,-30.6484811
115,abinashpatnaik,-37.92223739,-14.77950549
116,abinesh,-41.04518145,-51.29406319
117,abiolatv,26.15909618,1.255725527
118,AboutYouDesigns,31.92268124,-68.84340506
119,abUSEme666,-9.688024662,3.056238745
120,acann7,-55.76088606,-38.85040927
121,accessvip,21.03756438,70.05998846
122,accordingtonina,28.59524964,0.991790558
123,acevanzie,-39.35813453,-47.82292556
124,Ackron,-29.49157274,46.21418062
125,acnecurecenter,26.90400907,-83.54282567
126,Acti0nGirl,30.53512891,8.2698328
127,activistgirl,-57.92543349,-35.15848048
128,ACureForCarlie,-30.56343606,-12.88827487
129,Adam_Dutton,21.4534049,-22.35033646
130,adambmetal,-31.34434351,39.28718484
131,adambutlerTV,35.57772436,0.990510316
132,adamKRVN,-51.00655422,-32.78016771
133,adamyoung71,-33.85537745,-62.56083955
